day,month_section,of_the_clock_section_pre
2016/9/29,Sep_2nd,weekday
2016/9/30,Sep_2nd,weekday
2016/10/1,Oct,holiday
2016/10/2,Oct,holiday
2016/10/3,Oct,weekday
2016/10/4,Oct,weekday
2016/10/5,Oct,weekday
2016/10/6,Oct,weekday
2016/10/7,Oct,weekday
2016/10/8,Oct,holiday
2016/10/9,Oct,holiday
2016/10/10,Oct,holiday
2016/10/11,Oct,weekday
2016/10/12,Oct,weekday
2016/10/13,Oct,weekday
2016/10/14,Oct,weekday
2016/10/15,Oct,holiday
2016/10/16,Oct,holiday
2016/10/17,Oct,weekday
2016/10/18,Oct,weekday
2016/10/19,Oct,weekday
2016/10/20,Oct,weekday
2016/10/21,Oct,weekday
2016/10/22,Oct,holiday
2016/10/23,Oct,holiday
2016/10/24,Oct,weekday
2016/10/25,Oct,weekday
2016/10/26,Oct,weekday
2016/10/27,Oct,weekday
2016/10/28,Oct,weekday
2016/10/29,Oct,holiday
2016/10/30,Oct,holiday
2016/10/31,Oct,weekday
2016/11/1,Nov_1st,weekday
2016/11/2,Nov_1st,weekday
2016/11/3,Nov_1st,holiday
2016/11/4,Nov_1st,weekday
2016/11/5,Nov_1st,holiday
2016/11/6,Nov_1st,holiday
2016/11/7,Nov_1st,weekday
2016/11/8,Nov_1st,weekday
2016/11/9,Nov_1st,weekday
2016/11/10,Nov_1st,weekday
2016/11/11,Nov_1st,weekday
2016/11/12,Nov_1st,holiday
2016/11/13,Nov_1st,holiday
2016/11/14,Nov_1st,weekday
2016/11/15,Nov_1st,weekday
2016/11/16,Nov_2nd,weekday
2016/11/17,Nov_2nd,weekday
2016/11/18,Nov_2nd,weekday
2016/11/19,Nov_2nd,holiday
2016/11/20,Nov_2nd,holiday
2016/11/21,Nov_2nd,weekday
2016/11/22,Nov_2nd,weekday
2016/11/23,Nov_2nd,holiday
2016/11/24,Nov_2nd,weekday
2016/11/25,Nov_2nd,weekday
2016/11/26,Nov_2nd,holiday
2016/11/27,Nov_2nd,holiday
2016/11/28,Nov_2nd,weekday
2016/11/29,Nov_2nd,weekday
2016/11/30,Nov_2nd,weekday
2016/12/1,Dec,weekday
2016/12/2,Dec,weekday
2016/12/3,Dec,holiday
2016/12/4,Dec,holiday
2016/12/5,Dec,weekday
2016/12/6,Dec,weekday
2016/12/7,Dec,weekday
2016/12/8,Dec,weekday
2016/12/9,Dec,weekday
2016/12/10,Dec,holiday
2016/12/11,Dec,holiday
2016/12/12,Dec,weekday
2016/12/13,Dec,weekday
2016/12/14,Dec,weekday
2016/12/15,Dec,weekday
2016/12/16,Dec,weekday
2016/12/17,Dec,holiday
2016/12/18,Dec,holiday
2016/12/19,Dec,weekday
2016/12/20,Dec,weekday
2016/12/21,Dec,weekday
2016/12/22,Dec,weekday
2016/12/23,Dec,holiday
2016/12/24,Dec,holiday
2016/12/25,Dec,holiday
2016/12/26,Dec,weekday
2016/12/27,Dec,weekday
2016/12/28,Dec,weekday
2016/12/29,Dec,weekday
2016/12/30,Dec,weekday
2016/12/31,Dec,holiday
2017/1/1,Jan,holiday
2017/1/2,Jan,holiday
2017/1/3,Jan,weekday
