start_day,3J-HYDR2,3SM-HYDR,1J-HYDR2,1SM-HYDR
2016/8/15,15818.4,9711,6341.4,4914
2016/8/16,15818.4,9711,6341.4,4914
2016/8/17,15818.4,9711,6341.4,4914
2016/8/18,15818.4,9711,6341.4,4914
2016/8/19,15818.4,9711,6341.4,4914
2016/8/20,15818.4,9711,6341.4,4914
2016/8/21,15818.4,9711,6341.4,4914
2016/8/22,15818.4,9711,6341.4,4914
2016/8/23,15818.4,9711,6341.4,4914
2016/8/24,15818.4,9711,6341.4,4914
2016/8/25,15818.4,9711,6341.4,4914
2016/8/26,15818.4,9711,6341.4,4914
2016/8/27,15818.4,9711,6341.4,4914
2016/8/28,15818.4,9711,6341.4,4914
2016/8/29,15818.4,9711,6341.4,4914
2016/8/30,15818.4,9711,6341.4,4914
2016/8/31,15818.4,9711,6341.4,4914
2016/9/1,15818.4,9711,6341.4,4914
2016/9/2,15818.4,9711,6341.4,4914
2016/9/3,15818.4,9711,6341.4,4914
2016/9/4,15818.4,9711,6341.4,4914
2016/9/5,15818.4,9711,6341.4,4914
2016/9/6,15818.4,9711,6341.4,4914
2016/9/7,15818.4,9711,6341.4,4914
2016/9/8,15818.4,9711,6341.4,4914
2016/9/9,15818.4,9711,6341.4,4914
2016/9/10,15818.4,9711,6341.4,4914
2016/9/11,15818.4,9711,6341.4,4914
2016/9/12,15818.4,9711,6341.4,4914
2016/9/13,15818.4,9711,6341.4,4914
2016/9/14,15818.4,9711,6341.4,4914
2016/9/15,15818.4,9711,6341.4,4914
2016/9/16,15818.4,9711,6341.4,4914
2016/9/17,15818.4,9711,6341.4,4914
2016/9/18,15818.4,9711,6341.4,4914
2016/9/19,15818.4,9711,6341.4,4914
2016/9/20,15818.4,9711,6341.4,4914
2016/9/21,15818.4,9711,6341.4,4914
2016/9/22,15818.4,9711,6341.4,4914
2016/9/23,15818.4,9711,6341.4,4914
2016/9/24,15818.4,9711,6341.4,4914
2016/9/25,15818.4,9711,6341.4,4914
2016/9/26,15818.4,9711,6341.4,4914
2016/9/27,15818.4,9711,6341.4,4914
2016/9/28,15818.4,9711,6341.4,4914
2016/9/29,15818.4,9711,6341.4,4914
2016/9/30,15818.4,9711,6341.4,4914
2016/10/1,15818.4,9711,6341.4,4914
2016/10/2,15818.4,9711,6341.4,4914
2016/10/3,15818.4,9711,6341.4,4914
2016/10/4,15818.4,9711,6341.4,4914
2016/10/5,15818.4,9711,6341.4,4914
2016/10/6,15818.4,9711,6341.4,4914
2016/10/7,15818.4,9711,6341.4,4914
2016/10/8,15818.4,9711,6341.4,4914
2016/10/9,15818.4,9711,6341.4,4914
2016/10/10,15818.4,9711,6341.4,4914
2016/10/11,15818.4,9711,6341.4,4914
2016/10/12,15818.4,9711,6341.4,4914
2016/10/13,15818.4,9711,6341.4,4914
2016/10/14,15818.4,9711,6341.4,4914
2016/10/15,15818.4,9711,6341.4,4914
2016/10/16,15818.4,9711,6341.4,4914
2016/10/17,15818.4,9711,6341.4,4914
2016/10/18,15818.4,9711,6341.4,4914
2016/10/19,15818.4,9711,6341.4,4914
2016/10/20,15818.4,9711,6341.4,4914
2016/10/21,15818.4,9711,6341.4,4914
2016/10/22,15818.4,9711,6341.4,4914
2016/10/23,15818.4,9711,6341.4,4914
2016/10/24,15818.4,9711,6341.4,4914
